Source Name,Source Type,Tier 1,Tier 2,Tier 3,Population Index,overlap_uniques
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Content Sharers,Business,,0.5,10
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Content Sharers,Education,,4.45,67
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Content Sharers,Food & Drink,,0.33,9
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Content Sharers,Health & Fitness,,0.57,9
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Content Sharers,Hobbies & Interests,,9.09,100
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Content Sharers,"Law, Gov't and Politics",,0.1,2
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Content Sharers,Shopping,,0.04,1
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Content Sharers,Technology & Computing,,0.42,7
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Content Sharers,Travel,,0.44,6
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,Arts & Entertainment,,0.65,63
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,Automotive,,0.99,14
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,Business,,0.86,45
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,Education,,0.77,27
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,Family & Parenting,,0.12,4
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,Food & Drink,,1.26,96
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,Health & Fitness,,0.59,25
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,Hobbies & Interests,,8.12,264
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,Home & Garden,,0.98,38
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,"Law, Gov't and Politics",,0.32,14
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,News,,0.7,7
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,Personal Finance,,0.95,15
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,Pets,,0.37,6
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,Real Estate,,1.02,10
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,Religion & Spirituality,,1.48,21
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,Shopping,,0.71,48
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,Society,,0.86,11
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,Sports,,1.24,78
