pixel_name,Device,Hour,Users
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,2,93
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,3,109
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,4,208
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,5,551
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,6,957
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,7,"1,193"
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,8,"1,114"
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,9,793
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,10,746
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,11,808
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,12,813
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,13,848
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,14,856
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,15,967
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,16,"1,239"
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,17,"1,504"
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,18,"1,619"
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,19,"1,852"
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,20,"1,972"
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,21,"1,858"
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,22,"1,092"
#ADV#Sky Ride#Sports#Cycling#UK#HP#,Mobile,23,513
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,0,879
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,1,511
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,2,304
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,3,271
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,4,241
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,5,444
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,6,870
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,7,"1,695"
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,8,"2,620"
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,9,"3,235"
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,10,"3,608"
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,11,"3,915"
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,12,"4,074"
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,13,"4,125"
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,14,"3,997"
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,15,"4,409"
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,16,"4,244"
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,17,"4,532"
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,18,"5,198"
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,19,"5,754"
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,20,"5,543"
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,21,"4,322"
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,22,"2,465"
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Desktop,23,"1,245"
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,0,18
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,1,19
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,2,7
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,3,9
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,4,14
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,5,29
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,6,40
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,7,59
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,8,99
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,9,81
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,10,96
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,11,117
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,12,97
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,13,116
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,14,144
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,15,152
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,16,154
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,17,202
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,18,223
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,19,234
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,20,202
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,21,194
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,22,109
#ADV#Sky#Entertainment##UK#HP#Now TV Box,Mobile,23,40
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,0,"20,450"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,1,"10,704"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,2,"6,669"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,3,"4,126"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,4,"4,162"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,5,"7,121"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,6,"12,123"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,7,"18,859"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,8,"25,780"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,9,"28,662"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,10,"30,368"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,11,"34,884"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,12,"35,918"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,13,"34,085"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,14,"35,742"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,15,"40,992"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,16,"49,525"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,17,"63,722"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,18,"82,621"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,19,"106,498"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,20,"117,255"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,21,"102,318"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,22,"58,974"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Desktop,23,"31,297"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,0,"3,326"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,1,"1,945"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,2,"1,211"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,3,934
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,4,"1,171"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,5,"2,648"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,6,"5,092"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,7,"7,171"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,8,"8,193"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,9,"7,903"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,10,"7,952"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,11,"8,602"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,12,"9,199"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,13,"9,593"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,14,"10,803"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,15,"12,408"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,16,"14,409"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,17,"17,202"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,18,"20,880"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,19,"23,755"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,20,"24,369"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,21,"20,844"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,22,"12,362"
#ADV#Sky#Entertainment##UK#HP#Now TV Entertainment,Mobile,23,"6,231"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,0,"27,869"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,1,"13,967"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,2,"8,448"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,3,"5,469"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,4,"5,529"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,5,"10,090"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,6,"18,962"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,7,"32,299"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,8,"46,271"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,9,"51,821"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,10,"56,612"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,11,"64,906"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,12,"66,355"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,13,"66,561"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,14,"68,922"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,15,"76,074"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,16,"86,899"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,17,"107,623"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,18,"142,896"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,19,"169,150"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,20,"173,498"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,21,"147,229"
