Source Name,Source Type,Tier 1,Tier 2,Tier 3,Population Index,overlap_uniques
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Site Visitors,Shopping,,1.5,"2,182"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Site Visitors,Society,,1.41,386
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Site Visitors,Sports,,2.16,"1,827"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Site Visitors,Style & Fashion,,1.99,430
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Site Visitors,Technology & Computing,,1.56,"1,801"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Site Visitors,Travel,,1.38,"1,105"
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Content Sharers,Arts & Entertainment,,0.59,11
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Content Sharers,Business,,1.3,12
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Content Sharers,Food & Drink,,0.75,10
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Content Sharers,"Law, Gov't and Politics",,0.22,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Content Sharers,Shopping,,0.79,10
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,Arts & Entertainment,,0.68,76
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,Automotive,,2.11,34
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,Business,,1.5,89
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,Education,,0.49,21
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,Family & Parenting,,0.14,7
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,Food & Drink,,1.14,111
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,Health & Fitness,,0.92,47
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,Hobbies & Interests,,0.98,35
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,Home & Garden,,3.26,136
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,"Law, Gov't and Politics",,0.63,32
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,News,,0.88,10
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,Personal Finance,,1.74,28
